chr	pos	bstat
3	47203783	14
3	49774658	1
3	50059758	1
3	52916916	143
3	53127677	206
3	57893050	187
3	58430207	411
3	63748647	676
3	63853423	516
3	64001925	508
3	64076779	635
3	64082964	552
3	64703394	897
3	64723441	913
3	64764174	913
3	64772819	919
3	64798527	911
3	64829275	927
3	70488292	840
3	73346966	959
3	77331007	952
3	77519284	777
3	77624784	559
3	77649873	599
3	77716907	829
3	90210049	738
3	93688511	461
3	94205768	841
3	104740516	957
3	112996218	454
3	113274336	558
3	114694757	724
3	115105933	847
3	115901137	827
3	123006453	645
3	123098242	815
3	123137791	861
3	124879681	893
3	124921457	889
3	124931867	877
3	125072184	615
3	128992047	600
3	129311529	657
3	131636780	866
3	131772882	859
3	135950921	324
3	136574501	402
3	149182883	911
3	149193107	893
3	150083221	826
3	152116652	513
3	152293633	844
3	152514295	816
3	156795525	840
3	160217483	360
3	168242895	935
3	168925594	794
3	170671557	679
3	170705693	661
3	170766330	753
3	170770207	778
3	171760427	951
3	171911882	920
3	173079012	941
3	173120103	913
3	173747092	903
3	184000389	354
3	185256904	679
3	185357531	597
3	185371172	590
3	185473065	739
3	185476453	738
3	185508591	762
3	185531661	728
3	185550500	808
3	185553759	824
3	185832414	754
3	186617522	939
3	186661271	937
3	186665645	939
3	186672651	940
3	186731327	940
3	186758583	897
3	186758930	897
3	186765923	911
3	187735916	950
3	188677737	921
3	195832147	778
4	1002848	856
4	1102195	883
4	1236083	856
4	1321152	792
4	1350550	797
4	1416607	889
4	1417370	894
4	1784605	819
4	1786135	814
4	1786624	814
4	1794188	774
4	4949471	988
4	6306763	976
4	6320070	976
4	10057583	835
4	13934315	965
4	17877487	428
4	18083082	858
4	18471321	906
4	18565597	915
4	19364766	825
4	20021158	945
4	20039593	972
4	20263888	849
4	26307729	840
4	38387075	906
4	44505380	849
4	44675514	612
4	45036446	878
4	45142805	867
4	45163333	899
4	45175691	900
4	48286812	404
4	52818664	341
4	52942266	462
4	71835822	421
4	71859193	491
4	76535086	438
4	77057822	513
4	83582546	802
4	85386128	862
4	91220507	808
4	102115186	927
4	102151054	935
4	102445776	951
4	104281586	769
4	106048291	773
4	106150555	534
4	110555678	835
4	119184569	461
4	125856719	911
4	130786346	951
4	140879929	940
4	144499286	620
4	153254121	764
4	153520475	805
4	156695766	811
4	156697784	800
4	157655677	781
4	157739072	769
4	184389475	823
4	185713568	829
5	5142424	964
5	14712327	772
5	14768092	934
5	14781936	931
5	15313620	824
5	24206738	944
5	36002012	788
5	44694535	613
5	44945090	652
5	45690187	484
5	46045900	654
5	49574393	601
5	49930286	510
5	51237443	823
5	51791225	812
5	52058673	847
5	52065181	837
5	52184071	768
5	52193125	751
5	52765331	777
5	52850891	807
5	55737637	926
5	55808686	906
5	55809138	905
5	55820584	935
5	55823055	945
5	55828155	939
5	55861894	935
5	55864102	931
5	56196604	359
5	56261335	589
5	57559545	800
5	57607142	841
5	65122967	631
5	72027242	470
5	72296285	296
5	74564190	582
5	74624234	473
5	74673707	383
5	74925162	573
5	74934009	600
5	74982980	594
5	76435004	940
5	76444693	940
5	76455527	940
5	76463151	935
5	76714380	839
5	77380723	679
5	78337225	630
5	78419809	646
5	78434291	631
5	78630605	683
5	86598808	609
5	87001312	791
5	87036906	725
5	87968347	562
5	95841487	858
5	95857763	860
5	101578110	768
5	101987069	674
5	102034963	709
5	102143661	587
5	102238502	397
5	102293380	345
5	102567455	407
5	102632040	512
5	102693362	732
5	106385815	971
5	111285955	843
5	122649290	738
5	122784514	669
5	123003001	669
5	127562531	524
5	133864599	557
5	134252619	253
5	144444392	867
5	151324259	787
5	153547409	899
5	153621706	880
5	166110898	953
5	176521456	532
5	176589585	374
6	7078668	884
6	7177028	779
6	7203714	755
6	7245458	720
6	7252556	729
6	7254641	751
6	7288911	743
6	7306885	769
6	19708095	925
6	20485077	832
6	20513072	845
6	20528058	876
6	20543895	838
6	20576883	771
6	20621238	892
6	20626409	893
6	20662123	875
6	20686996	899
6	20728731	917
6	20732471	927
6	20752331	884
6	20899274	900
6	21055717	922
6	21088082	937
6	26336838	744
6	29336009	784
6	30764907	900
6	30817501	917
6	30932429	917
6	30993958	923
6	31036878	929
6	31047620	929
6	31070686	929
6	31080899	929
6	31093132	929
6	31102305	929
6	31114182	929
6	31127037	929
6	31139452	929
6	31142245	929
6	31176226	929
6	31196376	934
6	31220109	934
6	31232543	934
6	31243420	934
6	31275289	934
6	31313972	934
6	31319586	934
6	31329494	934
6	31346805	934
6	31364076	934
6	31444604	934
6	31462248	934
6	31485174	934
6	31524851	934
6	31562150	934
6	31572956	906
6	31591918	878
6	31605448	856
6	31611158	862
6	31769479	895
6	31826705	900
6	31840415	900
6	31883679	912
6	31883957	912
6	32006823	923
6	32138545	923
6	32149537	923
6	32165444	929
6	32173257	929
6	32190390	934
6	32202597	934
6	32321872	934
6	32339548	934
6	32339897	934
6	32388275	934
6	32399187	934
6	32409530	934
6	32424568	934
6	32441679	934
6	32574868	934
6	32581922	934
6	32587213	934
6	32588882	934
6	32626475	940
6	32627773	940
6	32633282	940
6	32659838	940
6	32682429	940
6	32682862	940
6	32739888	940
6	32756741	940
6	32803576	934
6	32804798	934
6	32814447	934
6	32821447	934
6	32899485	929
6	33017082	895
6	33024273	878
6	33048457	862
6	33081823	856
6	33217001	707
6	33315152	620
6	33482146	675
6	33550025	706
6	33646328	645
6	33802636	783
6	34139058	846
6	34161299	830
6	34209281	785
6	38910375	681
6	39043178	746
6	39072034	786
6	39183964	836
6	39282371	900
6	39301792	917
6	40369081	856
6	40409243	922
6	43758873	828
6	43798902	894
6	43802563	900
6	43825023	910
6	43825459	910
6	44946463	556
6	50768062	608
6	50788778	525
6	50930041	600
6	50956564	756
6	51098648	799
6	51145172	816
6	52625794	923
6	54888701	760
6	56265421	364
6	63936511	754
6	64126180	622
6	83010246	640
6	100173832	736
6	119329387	531
6	126083658	665
6	126792095	565
6	127068983	543
6	127097775	801
6	127202364	773
6	127398595	772
6	127803281	555
6	130323447	840
6	130333698	817
6	130345835	790
6	132011439	728
6	137291296	893
6	137306056	906
6	137672375	856
6	138848339	912
6	138855975	922
6	139207910	667
6	140143193	894
6	140581822	711
6	143015234	845
6	143058692	770
6	143268256	901
6	144277568	861
6	147952023	893
6	153441895	859
6	153457680	897
6	156976650	970
6	160770312	845
6	160808148	797
6	160892241	834
6	167437988	940
7	1888051	917
7	2760750	923
7	4691060	970
7	6747267	883
7	7256828	813
7	7289938	719
7	12358122	834
7	13884489	934
7	13900513	905
7	13911645	866
7	14865199	952
7	14896924	961
7	14898282	967
7	14918063	965
7	15031507	981
7	15039352	980
7	15062983	977
7	15066633	982
7	15067028	982
7	15087513	982
7	15114818	980
7	15913588	950
7	16229021	914
7	18311060	822
7	23432286	769
7	23449799	788
7	23512896	767
7	23883181	678
7	25952059	915
7	25986682	905
7	26397239	821
7	26526935	856
7	27353904	773
7	28142186	925
7	28182346	845
7	28190121	855
7	28192280	850
7	30655489	695
7	30728452	855
7	32336793	924
7	40816580	845
7	44155252	662
7	44170585	749
7	44189023	749
7	44193462	764
7	44210710	809
7	44255643	809
7	44266077	835
7	44266184	835
7	45161049	769
7	50581972	737
7	50621473	776
7	50641187	788
7	50681985	819
7	50741502	892
7	50808033	908
7	51023364	945
7	51079151	923
7	51086521	912
7	56120881	624
7	67187678	949
7	68887851	956
7	68909759	972
7	68940777	908
7	69035699	845
7	69055951	703
7	69292445	0
7	69311506	0
7	69329347	0
7	69480278	640
7	69551193	691
7	69631886	588
7	69653990	588
7	69758806	704
7	69786742	699
7	69921451	917
7	69956958	940
7	70796663	923
7	73026151	641
7	73432630	919
7	74108135	846
7	74140051	833
7	76610299	895
7	83735838	806
7	86715423	627
7	89727016	746
7	89801787	561
7	93112635	797
7	97811160	628
7	98005538	689
7	98682523	385
7	102383663	759
7	102440184	557
7	102503186	515
7	102795951	553
7	103408286	871
7	103420708	866
7	104929064	388
7	105084671	679
7	106720167	634
7	106987988	345
7	107283069	629
7	112459652	499
7	112829093	833
7	112934775	863
7	117496144	843
7	127246903	376
7	127907054	829
7	130432481	848
7	130457931	861
7	140631823	678
7	145912351	891
7	150317278	940
7	150499647	912
7	150517022	906
7	150521852	906
7	150637094	850
7	156815971	969
7	156921160	894
7	156944787	811
7	157043558	834
7	157071913	929
7	157075760	940
8	8114543	928
8	8249082	899
8	8379106	931
8	8698092	882
8	8724276	877
8	8867411	857
8	9070829	919
8	9100066	940
8	9183596	925
8	9188762	928
8	9278574	883
8	9860588	842
8	9863893	843
8	10006864	835
8	10209623	926
8	10283602	940
8	10494738	926
8	10643759	772
8	10718061	722
8	10745469	717
8	10804865	872
8	11029029	936
8	11040216	942
8	11245064	845
8	11517715	942
8	11614112	872
8	11777977	952
8	11832079	970
8	12617155	916
8	12644497	939
8	13505455	974
8	13516023	974
8	14106498	957
8	15510899	900
8	15597876	897
8	17631429	773
8	17737034	588
8	17872962	485
8	19813180	852
8	19816934	848
8	21820813	596
8	22449484	623
8	28110906	922
8	28129261	913
8	30867562	774
8	33600806	833
8	34503776	826
8	36658914	794
8	37397803	937
8	38332318	606
8	38345421	638
8	38359468	663
8	38424739	845
8	41227207	814
8	41345749	626
8	41391761	697
8	41478361	552
8	41503293	643
8	41509915	627
8	41516915	632
8	41522991	626
8	41545076	653
8	41612551	761
8	41635033	798
8	67201113	634
8	72513170	824
8	72521293	801
8	73449940	845
8	73526043	827
8	74345824	781
8	75156017	687
8	76592021	781
8	85672815	708
8	85766538	672
8	90902053	657
8	95654723	599
8	95682296	506
8	95693382	513
8	95739642	564
8	95858682	362
8	95965685	492
8	96026781	582
8	96093132	730
8	96112796	749
8	97174637	855
8	104591083	592
8	105610429	554
8	106543197	887
8	110104653	506
8	116497173	572
8	116697876	633
8	118182050	928
8	118184783	907
8	118185938	905
8	118225768	945
8	118232242	951
8	118837074	765
8	118881208	888
8	121061879	728
8	121872464	949
8	126494317	938
8	126618736	975
8	126645810	974
8	129597629	987
8	132877027	877
8	143117893	988
8	144502675	900
8	144506133	900
8	144560049	861
8	145501921	809
8	145546036	804
8	145639726	600
8	145692762	419
8	145972670	554
8	146017782	521
9	1011534	946
9	1033773	948
9	4278997	933
9	4285707	895
9	4289196	887
9	4289657	876
9	4291928	894
9	4297892	943
9	4305959	958
9	4311574	968
9	4315247	968
9	4317825	969
9	8276704	764
9	14130239	638
9	14313712	935
9	14514366	930
9	18984665	725
9	19025385	702
9	19093017	656
9	20287948	957
9	20815907	614
9	21011833	610
9	21997872	873
9	22127613	964
9	22128180	969
9	22128600	969
9	22134094	975
9	22137685	974
9	22219365	969
9	22301092	871
9	22341705	896
9	23347865	974
9	28410683	970
9	31034367	961
9	33803408	346
9	34074476	399
9	35679061	249
9	35767753	124
9	81324935	945
9	81904085	927
9	81914978	894
9	81980758	936
9	82479380	962
9	83992174	907
9	83998346	950
9	84011111	973
9	84241308	944
9	84288159	957
9	84294425	918
9	84303026	880
9	84306559	894
9	84311800	915
9	84313464	918
9	84341761	928
9	84379671	963
9	85336402	927
9	86570075	349
9	87391128	799
9	90811204	970
9	95399878	357
9	96895528	835
9	96971175	834
9	97039618	824
9	97171337	769
9	97780363	671
9	97873435	617
9	98132921	803
9	98221861	548
9	98278413	840
9	102394118	477
9	107440257	763
9	107588572	738
9	107686131	944
9	107724990	927
9	116668681	901
9	118352164	886
9	119240592	669
9	126020405	295
9	126297740	765
9	126697865	855
9	126927204	917
9	129408290	888
9	129467340	876
9	133788361	899
9	134868417	742
9	136114571	917
9	136133148	906
9	136149229	900
9	136185528	856
9	136890704	794
9	139243334	658
9	139260463	604
9	139298593	524
9	139356987	391
9	139501325	940
10	12211761	688
10	12239944	793
10	12292454	813
10	12297750	829
10	12300712	834
10	12307894	835
10	12323464	872
10	12332555	900
10	13567440	776
10	23478634	800
10	29203067	960
10	31754377	500
10	52561829	773
10	64848773	850
10	65191645	429
10	65305125	473
10	69971567	587
10	71306424	917
10	71321279	917
10	71339737	919
10	71456311	952
10	71469514	941
10	71487175	951
10	71494525	951
10	71504788	951
10	71515730	951
10	72647653	781
10	75497515	58
10	77221744	675
10	77244336	660
10	77647107	741
10	80907740	956
10	80926036	954
10	80943841	939
10	80949988	948
10	80985374	926
10	80992381	934
10	80999869	919
10	81013096	933
10	81016112	927
10	81023352	900
10	88128637	791
10	89760477	678
10	91575732	683
10	94138239	311
10	94155499	362
10	94199337	527
10	94203970	376
10	94209939	360
10	94211304	355
10	94290484	370
10	94462882	460
10	94468643	492
10	94530832	695
10	94539816	690
10	94928445	767
10	98971960	684
10	99045890	611
10	99161831	520
10	102420598	748
10	102993649	549
10	103043432	549
10	103288436	167
10	104486974	181
10	112621837	682
10	112679859	626
10	113042093	911
10	114597109	909
10	114679532	912
10	114721404	933
10	114721568	933
10	114735521	909
10	114743961	910
10	114750157	895
10	114750236	895
10	114773068	834
10	114824473	925
10	114829769	934
10	114830306	934
10	114841616	923
10	114847905	918
10	114871594	891
10	114873727	875
10	114893956	851
10	114900627	849
10	114915214	842
10	115788495	726
10	121689030	371
10	122917356	929
10	122968030	964
10	122999900	956
10	124085243	856
10	124120457	813
10	124132188	757
10	124149917	668
10	124238997	889
10	125220311	967
10	129140763	946
11	1663950	982
11	1690984	982
11	2184848	988
11	2189983	988
11	2190418	988
11	2193817	988
11	2197132	988
11	2209620	988
11	2217111	988
11	2284609	988
11	2286651	988
11	2455778	988
11	2464025	988
11	2563559	982
11	2580063	982
11	2683357	981
11	2688526	981
11	2691500	982
11	2718538	981
11	2738659	982
11	2745107	982
11	2751315	982
11	2760741	982
11	2763228	982
11	2770777	982
11	2799679	982
11	2821427	982
11	2826603	982
11	2857297	982
11	2857897	982
11	2858546	982
11	2859221	982
11	2868868	976
11	2880983	976
11	2892955	976
11	2908965	970
11	4081504	599
11	4910224	740
11	8562494	451
11	8654528	329
11	9841970	475
11	17012956	664
11	17110249	339
11	17184623	315
11	17375185	590
11	17408630	578
11	20959482	907
11	26163242	946
11	27393813	465
11	32424604	710
11	32481459	794
11	34831971	846
11	34847474	824
11	34978892	732
11	35433712	862
11	43610732	713
11	43934592	809
11	45858584	471
11	47529947	11
11	49375021	210
11	49695681	221
11	49984211	224
11	51450931	223
11	55119768	189
11	55460788	146
11	58032553	421
11	58366561	254
11	61278918	706
11	61317387	741
11	62194100	773
11	65337251	285
11	65346178	316
11	65382564	269
11	65562257	304
11	65637984	274
11	65662985	298
11	65834340	234
11	66134085	176
11	68812781	900
11	68824910	889
11	69262756	940
11	69446331	940
11	69463273	917
11	72401101	609
11	72449249	630
11	72460398	619
11	72462375	611
11	72506324	556
11	72788823	489
11	72832677	513
11	72877964	670
11	72895842	783
11	75450576	709
11	75884405	793
11	76262128	291
11	76501557	867
11	77928036	557
11	84786132	661
11	87610239	951
11	91952544	946
11	92667047	917
11	92679198	917
11	92708710	915
11	92715916	915
11	93013387	823
11	93028940	785
11	93219829	778
11	102987752	269
11	106587791	865
11	115917338	923
11	117690543	900
11	117698483	900
11	118947168	275
11	120617504	926
11	121933392	812
11	121996261	895
11	122010150	787
11	126018532	863
11	128040810	977
11	128204513	927
11	128355318	877
11	128389391	908
11	128390791	906
11	128436953	931
11	128507066	957
11	129749952	503
11	132697352	949
12	427575	459
12	4133971	968
12	4288899	970
12	4376089	929
12	4381981	946
12	4390372	922
12	4399050	911
12	4406576	851
12	4443260	849
12	12871099	809
12	13218609	725
12	16653510	890
12	20262685	964
12	20589696	944
12	20592624	941
12	20634732	939
12	21504068	889
12	21765121	747
12	23409299	929
12	24974143	865
12	25669356	940
12	26485639	914
12	27811224	861
12	27826780	803
12	27952620	830
12	27958113	862
12	27960409	867
12	27964928	883
12	27969088	895
12	27969214	895
12	31382586	970
12	31407030	964
12	31481747	951
12	33593127	853
12	39414371	819
12	41835918	631
12	42156791	836
12	48838935	583
12	50078124	209
12	50264802	580
12	50883158	289
12	57038332	174
12	57146069	239
12	57211365	366
12	57849768	271
12	61241140	902
12	66203383	786
12	66255005	747
12	66371880	716
12	66425335	910
12	71380111	900
12	71408690	843
12	71411742	842
12	71454999	815
12	71539646	878
12	71556439	802
12	81375253	818
12	82073040	888
12	82399053	920
12	95334537	787
12	95921261	575
12	95962097	906
12	97753152	867
12	97848910	923
12	108559457	872
12	108609885	847
12	108633773	861
12	108635460	867
12	110178261	724
12	111329227	584
12	114104975	963
12	117640545	851
12	118433753	893
12	118454833	849
12	121067686	624
12	121188837	534
12	121300988	549
12	121402932	632
12	121416650	618
12	121490952	716
12	121556854	725
12	121602760	687
12	121604748	678
12	121670064	640
12	121693947	721
12	123575742	334
12	123618544	351
12	124504283	716
12	124508976	740
12	124545435	754
12	124580119	764
12	124637184	835
12	132481274	481
12	133055791	884
12	133070294	866
12	133075523	859
12	133487008	689
12	133682655	846
13	23309382	985
13	23886267	435
13	26776999	845
13	26974562	674
13	27008119	812
13	27029720	861
13	27032169	861
13	28029896	874
13	28624294	775
13	31042452	843
13	33553649	878
13	33554405	878
13	33557647	878
13	33571753	873
13	40787036	970
13	41069161	894
13	41491722	657
13	46514492	652
13	51106555	875
13	51123290	878
13	58733824	880
13	58825406	907
13	59077406	907
13	59116552	904
13	66208478	980
13	66775613	898
13	80611453	955
13	80627888	954
13	80652308	948
13	80668455	953
13	80701142	940
13	80702041	950
13	80707429	925
13	80714487	935
13	80718654	962
13	80747083	940
13	80759290	961
13	91886715	963
13	91945377	972
13	92268846	981
13	94652322	886
13	108702721	976
13	108797836	956
13	109858650	974
13	109946882	988
13	110454702	951
13	114217095	912
14	21972988	331
14	23349953	571
14	30083912	788
14	33257914	839
14	38800704	875
14	47305486	665
14	53809424	861
14	58643368	509
14	58989516	389
14	61329818	328
14	65027871	361
14	66052055	607
14	74948103	447
14	77372210	923
14	77799379	654
14	77858336	627
14	79899454	846
14	80166710	877
14	89536619	931
14	91883499	674
14	91931029	474
14	100794126	819
14	101173911	970
14	101255172	979
14	101286758	979
14	103994961	544
14	105717279	970
15	38843476	893
15	38938538	927
15	39644427	885
15	39659211	882
15	40367825	706
15	40637622	486
15	40639820	441
15	40641447	431
15	40676913	352
15	40868799	181
15	41846089	239
15	41855736	212
15	42072530	65
15	43592408	11
15	43846161	6
15	44202988	53
15	46467678	865
15	47472264	875
15	49615829	336
15	49749548	407
15	49872347	400
15	51908052	212
15	52531877	510
15	52587740	584
15	53024003	808
15	53058612	802
15	53077634	740
15	53099306	793
15	53163084	843
15	57210562	587
15	57405674	534
15	57602725	699
15	60938816	907
15	61958029	887
15	62116866	675
15	62125859	537
15	62378641	497
15	62382611	679
15	62389699	708
15	62391608	704
15	62394268	724
15	62397737	731
15	62428795	809
15	63874881	168
15	64127038	307
15	67262832	922
15	67441750	829
15	67444747	824
15	67707833	410
15	73119069	673
15	73787381	716
15	73973662	744
15	74044906	801
15	74253601	819
15	74353561	819
15	75481877	535
15	75529182	489
15	75627638	374
15	75815758	185
15	75925592	304
15	76298132	570
15	76542114	390
15	77249703	431
15	77381959	490
15	77491389	0
15	77539914	0
15	77747190	204
15	77788821	207
15	77807127	399
15	77875268	580
15	77910202	610
15	90368067	854
15	90450819	889
15	91450248	527
15	91512267	512
15	91567985	749
15	93827780	988
15	95266980	960
15	99234176	967
16	293562	784
16	295795	784
16	401096	786
16	1333387	872
16	3252629	794
16	3707409	624
16	12862007	970
16	25379448	731
16	28893295	321
16	30033527	93
16	30068354	97
16	49091195	883
16	49359121	840
16	53769677	808
16	53803156	822
16	53809123	797
16	53835825	861
16	53865975	858
16	54370634	974
16	64569603	768
16	64806671	831
16	69555876	206
16	69940355	239
16	69973655	238
16	70660243	285
16	71647450	99
16	73100308	818
16	75233867	830
16	75245326	803
16	75263661	738
16	75333462	663
16	79564120	957
16	81072145	653
16	81490990	968
16	81515640	969
16	81533662	968
16	81534790	968
16	81610196	975
16	81722532	922
16	82874512	937
16	85682618	912
16	85716463	830
16	88155226	976
16	88551153	969
16	89569317	778
16	89632725	809
17	481604	663
17	1510048	751
17	2309117	672
17	3860356	697
17	3884026	455
17	3921834	277
17	4120933	298
17	7411855	215
17	7554772	389
17	7579472	476
17	17503729	764
17	17649423	708
17	18009102	360
17	27489503	231
17	29480217	107
17	29704002	116
17	29707884	135
17	34905408	337
17	36043653	845
17	36045521	839
17	36047417	819
17	36053996	861
17	36059747	850
17	36067959	843
17	36080428	863
17	36099952	838
17	36106313	839
17	36115166	872
17	37834357	161
17	40532696	255
17	40811781	76
17	41173086	267
17	41443671	226
17	42904720	296
17	46178674	169
17	46971140	411
17	47060322	609
17	47138325	453
17	56732770	27
17	57065924	48
17	61563200	418
17	61579098	447
17	61692495	144
17	61944924	44
17	65370808	825
17	65646092	876
17	65785851	644
17	65918807	227
17	65992189	447
17	66157981	846
17	66397134	815
17	68017013	924
17	68160329	528
17	70645032	958
17	73178311	590
17	76953179	946
17	77897172	958
17	78754340	905
17	79449733	889
18	7070642	912
18	21076764	516
18	21138865	414
18	22461398	923
18	31612400	733
18	36630226	812
18	39920178	912
18	40062317	930
18	42166130	892
18	52855278	757
18	53332089	592
18	57724804	982
18	57729069	981
18	57829135	970
18	57854144	972
18	57985528	954
18	58083316	941
18	58533764	977
18	60845884	941
18	60903978	927
18	63211114	957
18	73139008	931
18	73501475	975
18	74505610	878
18	74671768	778
18	75271854	1000
18	77156537	976
19	1990309	982
19	4945250	958
19	4951064	952
19	7218018	958
19	7235137	964
19	7244884	964
19	7293560	970
19	7935716	878
19	7968168	779
19	12491949	912
19	13038415	476
19	18812785	900
19	19393677	495
19	19613622	437
19	19666574	544
19	19786099	671
19	31829903	838
19	31857614	890
19	31899871	801
19	32573127	935
19	33889991	822
19	33890838	822
19	33894615	811
19	34310034	900
19	41885151	720
19	45326768	923
19	45396665	837
19	45411941	867
19	45428234	895
19	46145025	744
19	46147712	744
19	46157019	735
19	46157748	735
19	46157883	730
19	46158293	730
19	46189861	623
19	46191828	623
19	46227880	567
19	46239123	530
19	46320780	479
19	46386266	654
19	46409012	768
19	47542060	846
19	47556302	804
19	47569003	635
19	47603285	615
19	47625315	750
19	48124652	846
19	54017258	994
20	3788479	824
20	10616382	582
20	19532770	939
20	20008074	668
20	20064701	842
20	20076863	799
20	21460433	700
20	22427370	928
20	32404128	555
20	32556389	333
20	33175466	101
20	36842883	683
20	40279403	756
20	42214525	762
20	42797173	883
20	42815738	856
20	42844854	819
20	42928779	690
20	42994812	823
20	42996087	828
20	43005015	845
20	43246549	708
20	45550489	935
20	45581777	946
20	48832020	933
20	50417162	896
20	50873695	818
20	51147839	861
20	51224590	921
20	51245688	940
20	51611939	936
20	54149337	969
20	54239282	986
20	57415110	809
20	57565943	809
20	57577258	829
20	62298404	784
20	62372148	819
20	62461572	828
20	62727915	830
21	38523266	700
21	40232808	917
21	42583154	987
21	46542374	923
22	20079603	525
22	29245231	455
22	32057501	190
22	32203334	251
22	35603022	852
22	35696931	692
22	35729721	840
22	40539379	462
22	41511171	108
22	43397036	758
22	44324730	934
22	44395451	934
22	50356302	804
22	50448862	819
22	50461607	814
22	50467908	799
22	50609904	654
